id,word,meaning,pdf_page,status
1,مقُوله,گفتار,5,verified
2,اِرتشاء,رشوه خواری,5,verified
3,حیطه,محدوده، قلمرو,5,verified
4,ثانوی,دومی، دومین,5,verified
5,انفاق,نفقه دادن بخشیدن اموال در راه خدا,5,verified
6,مؤثق,معتبر، استوار کرده شده، مورد اطمینان و وثوق,5,verified
7,مُراهِق,نوبالغ، نوجوان نزدیک به بلوغ,5,verified
8,تابع,پیرو، فرمانبردار,5,verified
9,اجتهاد,تلاش کردن برای دریافت احکام شرعی از قرآن، حدیث، اجماع و قیاس.,5,verified
10,سلوک,راه و روش، رفتار و کردار,5,verified
11,فِراست,فهم و ادراک از صورت به سیرت پی بردن از ظاهر باطن را دانستن، هوشیاری,5,verified
12,مایه,اصل، اساس,5,verified
13,ذمه,کفالت، ضمانت، عهده، برگردن.,5,verified
14,متوالی,پیاپی، پی در پی,5,verified
15,خطیر,با ارزش، پرخطر، بزرگ,6,verified
16,استعمار,سلطه جویی. استعمار در لغت به معنای عمران و آبادانی است. اما در ادبیات سیاسی امروز، استعمار به مفهوم «تسلط بر یک کشور و غارت منابع طبیعی آن، اما در ظاهرِ کمک به آبادسازی آن کشور» استفاده می شود,6,verified
17,الحاد,ارتداد، شرک. کفر. منکر بودن خدا ج,6,verified
18,استکبار,زورگویی ناشی از داشتن قدرت. جهانخواری. تکبر خودبزرگ بینی.,6,verified
19,تسجیل,ثابت و استوار کردن,6,verified
20,ازل,زمان بی ابتدا، زمانی که ابتداء ندارد,6,verified
21,اختصاص,ویژه کردن،مخصوص ساختن,6,verified
22,مُبرَهَن,روشن، واضح، با دلیل و برهان,6,verified
23,استفهام,طلب فهم کردن، پرسش,6,verified
24,مشعر,خبر دهنده,6,verified
25,انقلاب,دگرگون شدن,6,verified
26,بینات,دلایل آشکار,6,verified
27,معطوف,مورد توجه و نظر واقع شده,6,verified
28,مدعو,دعوت شده,6,verified
29,اشد,شدیدتر، سخت تر,6,verified
30,ایده,اندیشه، فکر، نظر,6,verified
31,ایده آلیست Idealist,آرمان گرا، طرفدار مسلک ایده آلیسم,6,verified
32,آتهءیست Athiest,منکر وجود خدا، خدا ناباور,6,verified
33,ماتریالیسم materialism,ماده گرایی,6,verified
34,عوالَم,جهان ها، جمع عالم,6,verified
35,سُترُگ,بزرگ,6,verified
36,قیادت,رهبری، پیشوایی,6,verified
37,اُمی,درس نخوانده,7,verified
38,لَوث,آلودگی، ناپاکی,7,verified
39,ناهنجار,نامتناسب،غیر عادی،,7,verified
40,رَوَند,رفتار، جریان، رویه,7,verified
41,لاینفک,جدا ناشدنی,7,verified
42,نهفته,پنهان,7,verified
